season,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered
1,0,0,1,1,1,0.22,0.44,0.3582,0,5
1,1,0,1,1,1,0.2,0.44,0.4179,0,2
1,4,0,1,1,1,0.16,0.47,0.3881,0,1
1,5,0,1,1,1,0.16,0.47,0.2836,0,3
1,6,0,1,1,1,0.14,0.5,0.3881,0,30
1,7,0,1,1,1,0.14,0.5,0.194,1,63
1,8,0,1,1,1,0.14,0.5,0.2836,1,153
1,9,0,1,1,1,0.16,0.43,0.3881,7,81
1,10,0,1,1,1,0.18,0.43,0.2537,11,33
1,11,0,1,1,1,0.2,0.4,0.3284,10,41
1,12,0,1,1,1,0.22,0.35,0.2985,13,48
1,13,0,1,1,1,0.24,0.35,0.2836,8,53
1,14,0,1,1,1,0.26,0.3,0.2836,11,66
1,15,0,1,1,1,0.26,0.3,0.2537,14,58
1,16,0,1,1,1,0.26,0.3,0.2537,9,67
1,17,0,1,1,1,0.24,0.3,0.2239,11,146
1,18,0,1,1,1,0.24,0.32,0.1045,9,148
1,19,0,1,1,1,0.2,0.47,0.0,8,102
1,20,0,1,1,1,0.2,0.47,0.1045,3,49
1,21,0,1,1,1,0.18,0.64,0.1343,3,49
1,22,0,1,1,1,0.14,0.69,0.1343,0,20
1,23,0,1,1,1,0.18,0.55,0.1045,1,11
1,0,0,2,1,1,0.16,0.55,0.1045,0,5
1,1,0,2,1,1,0.16,0.59,0.1045,0,2
1,2,0,2,1,1,0.14,0.63,0.1343,0,1
1,4,0,2,1,1,0.14,0.63,0.0896,0,2
1,5,0,2,1,1,0.12,0.68,0.1045,0,4
1,6,0,2,1,1,0.12,0.74,0.1045,0,36
1,7,0,2,1,1,0.12,0.74,0.1343,2,92
1,8,0,2,1,1,0.14,0.69,0.1642,2,177
1,9,0,2,1,1,0.16,0.64,0.2239,2,98
1,10,0,2,1,2,0.16,0.69,0.3284,5,37
1,11,0,2,1,1,0.22,0.51,0.2985,7,50
1,12,0,2,1,1,0.22,0.51,0.1642,12,66
1,13,0,2,1,1,0.24,0.56,0.194,18,79
1,14,0,2,1,1,0.26,0.52,0.2239,9,54
1,15,0,2,1,1,0.28,0.52,0.2537,17,48
1,16,0,2,1,1,0.3,0.49,0.2537,15,68
1,17,0,2,1,1,0.28,0.48,0.2239,10,202
1,18,0,2,1,1,0.26,0.48,0.194,3,179
1,19,0,2,1,1,0.24,0.48,0.1045,2,110
1,20,0,2,1,1,0.24,0.48,0.1045,1,53
1,21,0,2,1,1,0.22,0.64,0.0,0,48
1,22,0,2,1,1,0.22,0.64,0.0896,1,34
1,23,0,2,1,1,0.2,0.69,0.0896,2,9
1,0,0,3,1,1,0.2,0.64,0.0,0,6
1,1,0,3,1,1,0.16,0.74,0.0896,0,6
1,2,0,3,1,1,0.16,0.74,0.0896,0,2
1,4,0,3,1,1,0.24,0.48,0.2239,0,2
1,5,0,3,1,1,0.22,0.47,0.1642,0,3
1,6,0,3,1,1,0.2,0.47,0.2239,0,33
1,7,0,3,1,1,0.18,0.43,0.194,1,87
1,8,0,3,1,1,0.2,0.4,0.2985,3,192
1,9,0,3,1,1,0.22,0.37,0.3284,6,109
1,10,0,3,1,1,0.22,0.37,0.3284,4,53
1,11,0,3,1,1,0.26,0.33,0.3284,12,34
1,12,0,3,1,1,0.26,0.33,0.3284,5,74
1,13,0,3,1,1,0.28,0.3,0.2985,6,65
1,14,0,3,1,1,0.3,0.28,0.194,10,52
1,15,0,3,1,1,0.3,0.28,0.194,7,55
1,16,0,3,1,1,0.3,0.28,0.0896,4,85
1,17,0,3,1,1,0.24,0.38,0.194,4,186
1,18,0,3,1,1,0.24,0.38,0.1343,3,166
1,19,0,3,1,1,0.24,0.38,0.1045,5,127
1,20,0,3,1,1,0.22,0.47,0.1642,7,82
1,21,0,3,1,1,0.2,0.51,0.194,3,40
1,22,0,3,1,1,0.18,0.55,0.1343,1,41
1,23,0,3,1,1,0.2,0.47,0.0,1,18
1,0,0,4,1,1,0.18,0.55,0.0,0,11
1,1,0,4,1,1,0.16,0.64,0.0,0,4
1,2,0,4,1,1,0.16,0.64,0.0,0,2
1,4,0,4,1,2,0.16,0.64,0.0896,0,1
1,5,0,4,1,2,0.14,0.69,0.0896,0,4
1,6,0,4,1,2,0.14,0.63,0.1045,0,36
1,7,0,4,1,2,0.16,0.59,0.0,0,95
1,8,0,4,1,1,0.16,0.59,0.0,3,216
1,9,0,4,1,2,0.18,0.51,0.0,6,116
1,10,0,4,1,1,0.2,0.47,0.0,3,42
1,11,0,4,1,1,0.22,0.44,0.0896,2,57
1,12,0,4,1,1,0.26,0.35,0.0,6,78
1,13,0,4,1,1,0.26,0.35,0.1045,12,55
1,14,0,4,1,1,0.28,0.36,0.1642,11,59
1,15,0,4,1,1,0.28,0.36,0.0,8,54
1,16,0,4,1,1,0.26,0.38,0.1642,12,74
1,17,0,4,1,1,0.22,0.51,0.1642,9,163
1,18,0,4,1,1,0.22,0.51,0.1343,5,158
1,19,0,4,1,1,0.22,0.55,0.0896,3,109
1,20,0,4,1,1,0.2,0.51,0.1642,3,66
1,21,0,4,1,2,0.22,0.55,0.2239,0,48
1,22,0,4,1,2,0.22,0.51,0.2836,1,51
1,23,0,4,1,2,0.2,0.59,0.194,4,19
1,0,0,5,1,2,0.2,0.64,0.194,4,13
1,1,0,5,1,2,0.2,0.69,0.2239,2,5
1,2,0,5,1,2,0.2,0.69,0.2239,0,1
1,4,0,5,1,2,0.2,0.69,0.1343,0,1
1,5,0,5,1,3,0.22,0.55,0.0,0,5
1,6,0,5,1,2,0.2,0.69,0.0,8,26
1,7,0,5,1,1,0.2,0.69,0.1343,8,76
1,8,0,5,1,1,0.2,0.51,0.2537,20,190
1,9,0,5,1,1,0.2,0.47,0.2985,9,125
1,10,0,5,1,1,0.22,0.37,0.3284,16,47
1,11,0,5,1,2,0.2,0.4,0.2239,19,48
1,12,0,5,1,2,0.2,0.37,0.2537,9,50
1,13,0,5,1,2,0.2,0.37,0.2836,9,64
1,14,0,5,1,2,0.2,0.4,0.2537,7,43
1,15,0,5,1,2,0.2,0.37,0.1642,9,63
1,16,0,5,1,2,0.2,0.37,0.1642,5,82
1,17,0,5,1,2,0.2,0.37,0.0,9,178
1,18,0,5,1,1,0.2,0.4,0.0896,7,116
1,19,0,5,1,1,0.16,0.55,0.0896,3,92
1,20,0,5,1,1,0.18,0.47,0.1045,1,50
1,21,0,5,1,1,0.18,0.47,0.1343,0,39
1,22,0,5,1,2,0.18,0.43,0.1642,2,34
1,23,0,5,1,2,0.18,0.51,0.1642,1,14
1,0,0,6,0,2,0.18,0.51,0.1642,1,24
1,1,0,6,0,2,0.18,0.55,0.0896,1,15
1,2,0,6,0,2,0.18,0.55,0.0,3,13
1,3,0,6,0,3,0.18,0.55,0.1642,0,7
1,4,0,6,0,3,0.18,0.55,0.1642,0,1
1,5,0,6,0,2,0.16,0.74,0.1642,0,5
1,6,0,6,0,2,0.16,0.74,0.1642,0,2
1,7,0,6,0,2,0.16,0.74,0.1045,1,8
1,8,0,6,0,3,0.16,0.93,0.1045,0,15
1,9,0,6,0,3,0.16,0.93,0.1045,0,20
1,10,0,6,0,2,0.18,0.8,0.1642,5,56
1,11,0,6,0,2,0.2,0.69,0.3881,2,60
1,12,0,6,0,2,0.2,0.59,0.3582,8,90
1,13,0,6,0,1,0.2,0.44,0.3284,7,95
1,14,0,6,0,1,0.2,0.32,0.4925,12,83
1,15,0,6,0,1,0.2,0.32,0.4478,5,69
1,16,0,6,0,1,0.18,0.29,0.4478,8,68
1,17,0,6,0,1,0.16,0.37,0.5522,5,64
1,18,0,6,0,1,0.14,0.39,0.2985,3,52
1,19,0,6,0,1,0.14,0.36,0.2537,4,26
1,20,0,6,0,1,0.12,0.36,0.2537,0,28
1,21,0,6,0,1,0.12,0.39,0.3582,2,35
1,22,0,6,0,1,0.12,0.36,0.3881,1,33
1,23,0,6,0,1,0.1,0.39,0.4478,0,22
1,0,0,0,0,1,0.1,0.42,0.3881,1,24
1,1,0,0,0,1,0.1,0.42,0.4627,0,12
1,2,0,0,0,1,0.1,0.46,0.4627,0,11
1,3,0,0,0,1,0.1,0.46,0.4179,0,4
1,4,0,0,0,1,0.08,0.53,0.194,0,1
1,5,0,0,0,1,0.08,0.53,0.194,0,1
1,6,0,0,0,1,0.1,0.49,0.2836,0,1
1,7,0,0,0,1,0.08,0.53,0.194,1,5
1,8,0,0,0,1,0.1,0.49,0.2836,0,10
1,9,0,0,0,1,0.12,0.46,0.5224,0,19
1,10,0,0,0,1,0.14,0.43,0.3881,0,49
1,11,0,0,0,1,0.16,0.4,0.5224,2,47
1,12,0,0,0,1,0.18,0.37,0.4478,4,79
1,13,0,0,0,1,0.2,0.34,0.4478,6,69
1,14,0,0,0,1,0.22,0.32,0.4627,8,64
1,15,0,0,0,1,0.22,0.35,0.3582,5,77
1,16,0,0,0,1,0.2,0.34,0.4478,13,79
1,17,0,0,0,1,0.18,0.37,0.3881,3,59
1,18,0,0,0,1,0.16,0.4,0.3284,4,44
1,19,0,0,0,1,0.16,0.43,0.3284,1,40
1,20,0,0,0,1,0.14,0.46,0.2537,0,38
1,21,0,0,0,1,0.14,0.46,0.4179,1,19
1,22,0,0,0,1,0.14,0.46,0.2985,5,10
1,23,0,0,0,1,0.12,0.5,0.194,0,6
1,0,0,1,1,1,0.12,0.5,0.2836,2,3
1,1,0,1,1,1,0.12,0.5,0.2836,1,0
1,2,0,1,1,1,0.12,0.5,0.2239,0,3
1,3,0,1,1,1,0.12,0.5,0.2239,0,1
1,4,0,1,1,1,0.1,0.54,0.1343,1,2
1,5,0,1,1,1,0.1,0.54,0.2537,0,3
1,6,0,1,1,1,0.12,0.5,0.2836,0,31
1,7,0,1,1,1,0.12,0.5,0.2239,2,75
1,8,0,1,1,2,0.12,0.5,0.2836,4,184
1,9,0,1,1,2,0.14,0.5,0.2537,2,92
1,10,0,1,1,2,0.14,0.5,0.2985,0,31
1,11,0,1,1,2,0.16,0.47,0.2836,2,28
1,12,0,1,1,2,0.2,0.4,0.2836,5,47
1,13,0,1,1,2,0.2,0.4,0.2836,4,50
1,14,0,1,1,2,0.2,0.4,0.2239,0,47
1,15,0,1,1,2,0.2,0.4,0.2239,2,43
1,16,0,1,1,1,0.2,0.4,0.1343,4,70
1,17,0,1,1,1,0.2,0.4,0.1045,4,174
1,18,0,1,1,1,0.2,0.4,0.2239,1,154
1,19,0,1,1,1,0.16,0.47,0.1642,3,92
1,20,0,1,1,1,0.16,0.5,0.1642,1,73
1,21,0,1,1,1,0.14,0.59,0.194,1,37
1,22,0,1,1,1,0.14,0.59,0.1642,2,22
1,23,0,1,1,1,0.14,0.59,0.1642,0,18
1,0,0,2,1,1,0.14,0.59,0.1045,2,10
1,1,0,2,1,1,0.14,0.59,0.1642,0,3
1,2,0,2,1,2,0.16,0.55,0.194,0,3
1,5,0,2,1,2,0.16,0.55,0.1343,0,6
1,6,0,2,1,2,0.16,0.55,0.1343,0,27
1,7,0,2,1,2,0.16,0.55,0.0,2,97
1,8,0,2,1,2,0.18,0.51,0.0896,3,214
1,9,0,2,1,2,0.18,0.51,0.1642,3,127
1,10,0,2,1,2,0.2,0.51,0.1642,3,51
1,11,0,2,1,2,0.2,0.47,0.1343,4,31
1,12,0,2,1,2,0.2,0.51,0.1045,2,55
1,13,0,2,1,2,0.2,0.59,0.0896,6,46
1,14,0,2,1,2,0.2,0.59,0.0896,3,60
1,15,0,2,1,2,0.16,0.8,0.0896,2,45
1,16,0,2,1,2,0.16,0.86,0.2239,4,72
1,17,0,2,1,2,0.16,0.86,0.2239,6,130
1,18,0,2,1,3,0.16,0.93,0.1045,1,94
1,19,0,2,1,3,0.16,0.93,0.0,0,51
1,20,0,2,1,3,0.16,0.93,0.194,0,32
1,21,0,2,1,3,0.16,0.86,0.0896,0,20
1,22,0,2,1,3,0.16,0.93,0.1045,1,28
1,23,0,2,1,3,0.16,0.93,0.0896,1,18
1,0,0,3,1,2,0.16,0.86,0.0896,0,7
1,1,0,3,1,2,0.16,0.86,0.1045,0,6
1,2,0,3,1,1,0.14,0.86,0.1343,0,1
1,5,0,3,1,1,0.14,0.86,0.1642,0,5
1,6,0,3,1,1,0.12,0.93,0.1343,0,16
1,7,0,3,1,1,0.14,0.69,0.1343,0,54
1,8,0,3,1,1,0.16,0.59,0.1642,3,125
1,9,0,3,1,1,0.16,0.59,0.3284,3,78
1,10,0,3,1,1,0.18,0.55,0.2239,0,39
1,11,0,3,1,1,0.2,0.51,0.3881,3,32
1,12,0,3,1,1,0.2,0.47,0.5821,3,52
1,13,0,3,1,1,0.22,0.44,0.3582,0,49
1,14,0,3,1,1,0.2,0.47,0.3284,0,44
1,15,0,3,1,1,0.2,0.47,0.4179,1,48
1,16,0,3,1,1,0.22,0.44,0.3284,5,63
1,17,0,3,1,1,0.2,0.47,0.3582,0,139
1,18,0,3,1,1,0.2,0.47,0.5224,2,135
1,19,0,3,1,1,0.18,0.47,0.4179,1,82
1,20,0,3,1,1,0.16,0.5,0.3284,2,54
1,21,0,3,1,1,0.16,0.55,0.3284,0,57
1,22,0,3,1,1,0.16,0.55,0.4478,1,32
1,23,0,3,1,1,0.14,0.59,0.4179,1,19
1,0,0,4,1,1,0.14,0.59,0.2836,1,6
1,1,0,4,1,1,0.14,0.5,0.2836,0,2
1,2,0,4,1,1,0.14,0.5,0.3582,0,2
1,3,0,4,1,1,0.14,0.5,0.3284,0,3
1,4,0,4,1,1,0.14,0.5,0.2537,0,4
1,5,0,4,1,1,0.14,0.5,0.2985,0,3
1,6,0,4,1,1,0.12,0.54,0.1343,0,28
1,7,0,4,1,1,0.12,0.54,0.1343,0,72
1,8,0,4,1,1,0.14,0.5,0.194,5,197
1,9,0,4,1,1,0.14,0.5,0.3284,2,137
1,10,0,4,1,2,0.16,0.5,0.3582,2,36
1,11,0,4,1,2,0.2,0.44,0.4478,4,33
1,12,0,4,1,1,0.2,0.44,0.4179,3,49
1,13,0,4,1,1,0.22,0.41,0.4478,2,81
1,14,0,4,1,1,0.22,0.41,0.3881,3,39
1,15,0,4,1,1,0.24,0.38,0.2985,5,55
1,16,0,4,1,1,0.24,0.38,0.3582,2,76
1,17,0,4,1,1,0.2,0.4,0.2836,4,158
1,18,0,4,1,1,0.2,0.4,0.3284,3,141
1,19,0,4,1,1,0.16,0.47,0.2537,1,98
1,20,0,4,1,1,0.16,0.47,0.2239,0,64
1,21,0,4,1,1,0.14,0.46,0.2985,0,40
1,22,0,4,1,1,0.14,0.46,0.3284,0,30
1,23,0,4,1,1,0.12,0.5,0.194,1,14
1,0,0,5,1,1,0.12,0.5,0.194,0,14
1,1,0,5,1,1,0.1,0.54,0.1642,0,5
1,2,0,5,1,1,0.1,0.54,0.1343,0,1
1,3,0,5,1,1,0.1,0.54,0.1045,0,1
1,5,0,5,1,1,0.1,0.54,0.0896,0,8
1,6,0,5,1,1,0.1,0.54,0.0,0,17
1,7,0,5,1,1,0.1,0.74,0.1642,0,70
1,8,0,5,1,1,0.12,0.68,0.0,2,156
1,9,0,5,1,1,0.14,0.69,0.1343,0,117
1,10,0,5,1,1,0.18,0.55,0.194,4,40
1,11,0,5,1,1,0.18,0.51,0.2836,6,47
1,12,0,5,1,1,0.2,0.44,0.2537,2,59
1,13,0,5,1,1,0.22,0.37,0.3881,4,73
1,14,0,5,1,1,0.22,0.41,0.2836,5,59
1,15,0,5,1,1,0.24,0.38,0.1642,9,59
1,16,0,5,1,1,0.22,0.41,0.1045,3,87
1,17,0,5,1,1,0.22,0.41,0.1642,4,155
1,18,0,5,1,1,0.2,0.47,0.0,5,134
1,19,0,5,1,1,0.16,0.59,0.0896,3,89
1,20,0,5,1,1,0.18,0.59,0.0,0,68
1,21,0,5,1,1,0.16,0.69,0.0,4,48
1,22,0,5,1,2,0.16,0.69,0.0,2,34
1,23,0,5,1,2,0.18,0.55,0.0,1,26
1,0,0,6,0,1,0.18,0.55,0.0,3,25
1,1,0,6,0,2,0.16,0.59,0.0896,2,18
1,2,0,6,0,2,0.16,0.59,0.0896,0,12
1,3,0,6,0,2,0.16,0.59,0.0,1,7
1,4,0,6,0,2,0.16,0.59,0.0,0,5
1,5,0,6,0,1,0.16,0.59,0.0,0,1
1,6,0,6,0,1,0.14,0.63,0.1045,1,2
1,7,0,6,0,1,0.14,0.63,0.0,1,9
1,8,0,6,0,1,0.14,0.63,0.1343,1,22
1,9,0,6,0,1,0.16,0.64,0.1343,2,31
1,10,0,6,0,1,0.18,0.59,0.1642,2,57
1,11,0,6,0,1,0.2,0.55,0.2239,18,54
1,12,0,6,0,1,0.24,0.48,0.2239,15,74
1,13,0,6,0,1,0.28,0.38,0.2985,21,80
1,14,0,6,0,1,0.3,0.39,0.2836,26,92
1,15,0,6,0,2,0.32,0.36,0.194,21,108
1,16,0,6,0,2,0.34,0.34,0.194,33,95
1,17,0,6,0,2,0.32,0.36,0.2836,29,54
1,18,0,6,0,2,0.3,0.45,0.2537,15,69
1,19,0,6,0,2,0.32,0.39,0.2537,14,60
1,20,0,6,0,2,0.32,0.39,0.2537,6,35
1,21,0,6,0,2,0.32,0.39,0.2239,6,51
1,22,0,6,0,2,0.3,0.42,0.1045,0,26
1,23,0,6,0,1,0.3,0.45,0.2836,5,39
1,0,0,0,0,1,0.26,0.56,0.0,6,33
1,1,0,0,0,1,0.26,0.56,0.1343,4,19
1,2,0,0,0,1,0.26,0.56,0.0896,3,13
1,3,0,0,0,1,0.22,0.69,0.0,9,6
1,4,0,0,0,1,0.26,0.56,0.1642,0,1
1,5,0,0,0,2,0.26,0.56,0.1642,1,1
1,6,0,0,0,2,0.26,0.56,0.1642,0,1
1,7,0,0,0,2,0.24,0.56,0.2985,0,3
1,8,0,0,0,1,0.22,0.55,0.2836,0,18
1,9,0,0,0,1,0.22,0.51,0.2537,3,29
1,10,0,0,0,1,0.22,0.51,0.2836,8,71
1,11,0,0,0,1,0.24,0.44,0.2537,23,70
1,12,0,0,0,1,0.24,0.41,0.2836,29,75
1,13,0,0,0,1,0.26,0.35,0.2985,23,95
1,14,0,0,0,1,0.28,0.36,0.2537,22,69
1,15,0,0,0,1,0.26,0.38,0.2537,35,78
1,16,0,0,0,1,0.24,0.38,0.2239,22,77
1,17,0,0,0,1,0.22,0.37,0.2537,23,82
1,18,0,0,0,1,0.2,0.4,0.1642,11,56
1,19,0,0,0,1,0.18,0.47,0.1343,14,47
1,20,0,0,0,1,0.18,0.47,0.1642,7,50
1,21,0,0,0,1,0.18,0.51,0.1642,6,22
1,22,0,0,0,2,0.2,0.49,0.1343,2,19
1,23,0,0,0,2,0.2,0.4,0.1045,0,18
1,0,1,1,0,2,0.2,0.47,0.2239,1,16
1,1,1,1,0,2,0.2,0.44,0.194,1,15
1,2,1,1,0,2,0.18,0.43,0.2537,0,8
1,3,1,1,0,2,0.18,0.43,0.194,0,2
1,4,1,1,0,2,0.18,0.43,0.1343,1,2
1,5,1,1,0,2,0.18,0.43,0.1642,0,1
1,6,1,1,0,2,0.18,0.43,0.194,0,5
1,7,1,1,0,2,0.16,0.5,0.1343,4,9
1,8,1,1,0,2,0.16,0.47,0.2239,3,30
1,9,1,1,0,2,0.16,0.47,0.2239,8,39
1,10,1,1,0,2,0.16,0.5,0.2537,7,50
1,11,1,1,0,2,0.16,0.55,0.194,9,55
1,12,1,1,0,2,0.18,0.47,0.1343,10,70
1,13,1,1,0,2,0.18,0.47,0.1343,13,80
1,14,1,1,0,2,0.18,0.43,0.1045,12,74
1,15,1,1,0,2,0.2,0.47,0.1642,21,72
1,16,1,1,0,2,0.2,0.47,0.1642,6,76
1,17,1,1,0,1,0.2,0.51,0.194,4,67
1,18,1,1,0,2,0.18,0.55,0.2537,7,85
1,19,1,1,0,3,0.18,0.59,0.194,2,58
1,20,1,1,0,3,0.16,0.8,0.194,4,29
1,21,1,1,0,3,0.16,0.8,0.194,3,24
1,22,1,1,0,3,0.14,0.93,0.2537,0,13
1,23,1,1,0,3,0.16,0.86,0.2836,1,3
1,12,0,2,1,2,0.2,0.86,0.3284,0,3
1,13,0,2,1,2,0.2,0.86,0.2239,0,22
1,14,0,2,1,2,0.22,0.8,0.1642,2,26
1,15,0,2,1,2,0.22,0.87,0.1642,3,32
1,16,0,2,1,2,0.22,0.87,0.194,0,61
1,17,0,2,1,2,0.22,0.82,0.194,1,124
1,18,0,2,1,2,0.22,0.8,0.1642,1,132
1,19,0,2,1,2,0.22,0.8,0.1343,1,98
1,20,0,2,1,2,0.22,0.87,0.0,0,83
1,21,0,2,1,2,0.22,0.93,0.1045,0,41
1,22,0,2,1,2,0.22,0.93,0.0896,0,33
1,23,0,2,1,2,0.22,0.93,0.0,1,19
1,0,0,3,1,2,0.22,0.93,0.0,0,3
1,1,0,3,1,3,0.22,0.93,0.1343,1,6
1,2,0,3,1,3,0.22,0.93,0.1343,0,3
1,4,0,3,1,3,0.22,0.93,0.1343,1,1
1,5,0,3,1,2,0.22,0.93,0.0896,0,7
1,6,0,3,1,2,0.22,0.93,0.0896,0,32
1,7,0,3,1,2,0.24,0.92,0.1045,1,89
1,8,0,3,1,2,0.24,0.93,0.1045,1,196
1,9,0,3,1,2,0.24,0.93,0.1045,2,107
1,10,0,3,1,2,0.26,0.93,0.1343,1,46
1,11,0,3,1,2,0.28,0.87,0.0896,5,47
1,12,0,3,1,2,0.3,0.81,0.0896,5,65
1,13,0,3,1,1,0.4,0.62,0.2836,11,67
1,14,0,3,1,1,0.4,0.58,0.2537,7,68
1,15,0,3,1,1,0.4,0.54,0.2836,4,78
1,16,0,3,1,1,0.38,0.58,0.3881,10,94
1,17,0,3,1,1,0.36,0.57,0.3284,7,190
1,18,0,3,1,1,0.34,0.61,0.2836,5,156
1,19,0,3,1,1,0.32,0.57,0.4179,4,108
1,20,0,3,1,1,0.32,0.49,0.2985,2,74
1,21,0,3,1,1,0.32,0.49,0.4179,4,55
1,22,0,3,1,1,0.3,0.52,0.1642,6,53
1,23,0,3,1,1,0.3,0.52,0.4627,1,27
1,0,0,4,1,1,0.26,0.56,0.3881,5,8
1,1,0,4,1,1,0.26,0.56,0.0,2,3
1,2,0,4,1,1,0.26,0.56,0.0,0,2
1,3,0,4,1,1,0.26,0.56,0.1642,0,1
1,4,0,4,1,1,0.26,0.56,0.1642,0,1
1,5,0,4,1,1,0.24,0.6,0.2239,0,6
1,6,0,4,1,1,0.22,0.6,0.2239,0,35
1,7,0,4,1,1,0.22,0.55,0.2239,1,100
1,8,0,4,1,1,0.22,0.55,0.2836,2,247
1,9,0,4,1,2,0.24,0.52,0.2239,3,140
1,10,0,4,1,1,0.26,0.48,0.2985,1,56
1,11,0,4,1,2,0.28,0.45,0.1642,5,63
1,12,0,4,1,2,0.3,0.42,0.0,7,77
1,13,0,4,1,2,0.28,0.45,0.1045,12,86
1,14,0,4,1,2,0.3,0.45,0.1343,6,75
1,15,0,4,1,2,0.32,0.45,0.194,8,62
1,16,0,4,1,2,0.3,0.49,0.1343,8,83
1,17,0,4,1,2,0.3,0.49,0.1045,8,207
1,18,0,4,1,2,0.26,0.56,0.194,1,184
1,19,0,4,1,1,0.26,0.56,0.3284,6,146
1,20,0,4,1,2,0.26,0.6,0.2836,2,124
1,21,0,4,1,2,0.24,0.6,0.2537,3,54
1,22,0,4,1,2,0.24,0.65,0.2836,0,56
1,23,0,4,1,2,0.24,0.65,0.3284,3,28
1,0,0,5,1,2,0.24,0.7,0.2537,1,20
1,1,0,5,1,2,0.24,0.7,0.2537,0,6
1,2,0,5,1,3,0.24,0.75,0.1642,0,2
1,3,0,5,1,3,0.22,0.8,0.2985,0,1
1,4,0,5,1,2,0.22,0.87,0.0896,0,1
1,5,0,5,1,1,0.24,0.6,0.4179,1,4
1,6,0,5,1,1,0.22,0.55,0.2537,0,27
1,7,0,5,1,1,0.2,0.51,0.2836,2,66
1,8,0,5,1,1,0.2,0.47,0.3284,7,210
1,9,0,5,1,1,0.2,0.51,0.3582,7,159
1,10,0,5,1,1,0.2,0.47,0.4627,6,57
1,11,0,5,1,1,0.22,0.41,0.4627,6,53
1,12,0,5,1,1,0.22,0.27,0.5821,11,67
1,13,0,5,1,1,0.2,0.21,0.5821,8,65
1,14,0,5,1,1,0.2,0.25,0.5224,6,56
1,15,0,5,1,1,0.16,0.26,0.4478,4,61
1,16,0,5,1,1,0.16,0.26,0.3582,0,97
1,17,0,5,1,1,0.14,0.28,0.3582,10,151
1,18,0,5,1,1,0.12,0.3,0.2537,1,119
1,19,0,5,1,1,0.12,0.3,0.3284,3,93
1,20,0,5,1,1,0.1,0.33,0.4179,1,52
1,21,0,5,1,1,0.08,0.38,0.2836,0,41
1,22,0,5,1,1,0.06,0.41,0.3881,1,33
1,23,0,5,1,1,0.06,0.38,0.3284,0,27
1,0,0,6,0,1,0.04,0.45,0.2537,0,13
1,1,0,6,0,2,0.04,0.41,0.3881,3,9
1,2,0,6,0,2,0.04,0.41,0.2537,0,11
1,3,0,6,0,2,0.04,0.41,0.2836,1,6
